22,0.3333,0,0.254,,5.1418,5.1418,14.308,90,90,120
22,0,0.6667,0.079,,,,,,,
22,0,0.6667,0.412,,,,,,,
8,0,0,0.5,,,,,,,
8,0.3333,0.6667,0.5,,,,,,,
8,0.6667,0.3333,0.1667,,,,,,,
8,0.3333,0.6667,0.1667,,,,,,,
22,0,0.3333,0.254,,,,,,,
22,0.6667,0.6667,0.254,,,,,,,
22,0.3333,0.3333,0.079,,,,,,,
22,0.6667,0,0.079,,,,,,,
22,0.3333,0.3333,0.412,,,,,,,
22,0.6667,0,0.412,,,,,,,
22,0.3333,0.3333,0.746,,,,,,,
22,0,0.3333,0.921,,,,,,,
22,0,0.3333,0.588,,,,,,,
8,0.6667,0.3334,0.8333,,,,,,,
8,0.3333,0.6666,0.8333,,,,,,,
22,0,0.6667,0.746,,,,,,,
22,0.6667,0,0.746,,,,,,,
22,0.3333,0,0.921,,,,,,,
22,0.6667,0.6667,0.921,,,,,,,
22,0.3333,0,0.588,,,,,,,
22,0.6667,0.6667,0.588,,,,,,,
